,fecha,rol,sexo,edad,id,n_victimas,hora,t_calle,calle,direccion,comuna,longitud,latitud,participantes,victima,acusado
389,2018-09-12,PEATON,MASCULINO,18,2018-0099,1,14:25:00,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y PEDERNERA,7,-58.46411215,-34.62925068,PEATON-PASAJEROS,PEATON,PASAJEROS
390,2018-09-20,PEATON,FEMENINO,33,2018-0100,1,10:30:00,AVENIDA,"RAWSON DE DELLEPIANE, ELVIRA AV.","RAWSON DE DELLEPIANE, ELVIRA AV. 150",1,-58.36217754,-34.62367156,MOTO-AUTO,MOTO,AUTO
391,2018-09-21,CONDUCTOR,MASCULINO,17,2018-0101,1,00:15:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y ZAPIOLA",12,-58.48098594,-34.54073130,MULTIPLE,AUTO,MULTIPLE
392,2018-09-21,CONDUCTOR,MASCULINO,20,2018-0102,1,00:30:00,CALLE,FAMATINA,"FAMATINA y TABORDA, DIOGENES",4,-58.41083404,-34.64640709,MOTO-AUTO,MOTO,AUTO
393,2018-09-27,PEATON,MASCULINO,1,2018-0103,1,17:51:00,AVENIDA,CASTA?ARES AV.,"CASTAÃ‘ARES AV. y BONORINO, ESTEBAN, CNEL. AV.",7,-58.44609828,-34.64446729,PEATON-MOTO,PEATON,MOTO
394,2018-10-01,CONDUCTOR,MASCULINO,22,2018-0104,1,08:58:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AU 1 SUR PRESIDENTE ARTURO FRONDIZI y SUAREZ AV.,4,-58.37709334,-34.64035082,MOTO-MOTO,MOTO,MOTO
395,2018-10-03,PEATON,FEMENINO,56,2018-0105,1,18:12:00,AVENIDA,NAZCA AV.,NAZCA AV. y RIVADAVIA AV.,7,-58.46963952,-34.63070603,PEATON-PASAJEROS,PEATON,PASAJEROS
396,2018-10-04,CONDUCTOR,MASCULINO,27,2018-0106,1,22:02:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","FIGUEROA ALCORTA, PRES. AV. y ECHEVERRIA",13,-58.43674281,-34.55161027,MOTO-MOTO,MOTO,MOTO
397,2018-10-06,PEATON,FEMENINO,62,2018-0107,1,14:20:00,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y JUJUY AV.,3,-58.40596860,-34.61011987,PEATON-PASAJEROS,PEATON,PASAJEROS
398,2018-10-09,CONDUCTOR,MASCULINO,37,2018-0108,1,14:00:00,AVENIDA,DE LOS ITALIANOS AV.,"DE LOS ITALIANOS AV. y GUEMES, MACACHA",1,-58.36154069,-34.60463618,MOTO-AUTO,MOTO,AUTO
399,2018-10-10,PEATON,MASCULINO,34,2018-0109,1,22:12:00,AVENIDA,TUCUMAN,"TUCUMAN y ALEM, LEANDRO N. AV.",1,-58.37062179,-34.60066507,PEATON-PASAJEROS,PEATON,PASAJEROS
400,2018-10-13,PEATON,MASCULINO,60,2018-0110,1,03:05:00,AVENIDA,CORRIENTES AV.,"CORRIENTES AV. y GALLARDO, ANGEL AV.",15,-58.43220014,-34.60207186,PEATON-MOTO,PEATON,MOTO
401,2018-10-19,CONDUCTOR,MASCULINO,28,2018-0111,1,12:13:00,AUTOPISTA,AUTOPISTA PERITO MORENO,"AU PERITO MORENO & PERON, EVA  AV.",9,-58.46958442,-34.64949724,MOTO-CARGAS,MOTO,CARGAS
402,2018-10-24,CONDUCTOR,FEMENINO,28,2018-0112,1,09:18:00,CALLE,MU?ECAS,MUÃ‘ECAS y SERRANO,15,-58.44671397,-34.59970903,MOTO-CARGAS,MOTO,CARGAS
